disease,year,month,date,time,count,log_count,covid,post,fitted,fitted_count,counterfactual,counterfactual_count
Meningococcal disease (invasive),2020,2,2020-02-01,62,13,2.6390573296152584,0,0,2.779743545334929,15.114887679929645,2.779743545334929,15.114887679929645
Meningococcal disease (invasive),2020,3,2020-03-01,63,6,1.9459101490553132,1,0,1.5257805741775146,3.5987318199845797,2.817718336321933,15.73861517818558
Meningococcal disease (invasive),2020,4,2020-04-01,64,7,2.0794415416798357,1,0,1.6776321364973874,4.352866096840919,2.957570858752521,18.251151146278303
Meningococcal disease (invasive),2020,5,2020-05-01,65,4,1.6094379124341003,1,0,1.8662178539162717,5.463803062356589,3.134157536282121,21.969276906159898
Meningococcal disease (invasive),2020,6,2020-06-01,66,7,2.0794415416798357,1,0,2.01958331361119,6.535184470607181,3.275523956087754,25.457084199896315
Meningococcal disease (invasive),2020,7,2020-07-01,67,8,2.1972245773362196,1,0,2.103689900297746,7.196357926488528,3.347631502885025,27.435304885294766
Meningococcal disease (invasive),2020,8,2020-08-01,68,7,2.0794415416798357,1,0,2.128503364992034,7.4022822467818035,3.360445927690029,27.80203163944175
Meningococcal disease (invasive),2020,9,2020-09-01,69,4,1.6094379124341003,1,0,2.1168449521496853,7.304893772125544,3.3367884749583956,27.128645642209765
Meningococcal disease (invasive),2020,10,2020-10-01,70,10,2.3978952727983707,1,0,2.072829958434487,6.947281801455541,3.2807744413539126,25.59636204885752
Meningococcal disease (invasive),2020,11,2020-11-01,71,4,1.6094379124341003,1,0,1.98379709301573,6.270296632740581,3.1797425360458713,23.040563176744474
Meningococcal disease (invasive),2020,12,2020-12-01,72,7,2.0794415416798357,1,0,1.8521796181456551,5.373696618527564,3.036126021286511,19.82441343535067
Meningococcal disease (invasive),2021,1,2021-01-01,73,5,1.791759469228055,1,0,1.720299865713207,4.58620332399087,2.892247228964779,17.0337901555602
Meningococcal disease (invasive),2021,2,2021-02-01,74,4,1.6094379124341003,1,0,1.6559969518775735,4.238299652509623,2.8159452752398604,15.708962886475831
Meningococcal disease (invasive),2021,3,2021-03-01,75,9,2.302585092994046,1,0,1.705970782753862,4.506728910684243,2.8539200662268644,16.355684094009458
Meningococcal disease (invasive),2021,4,2021-04-01,76,8,2.1972245773362196,1,0,1.857822345073735,5.409763309614837,2.9937725886574524,18.9608446806441
Meningococcal disease (invasive),2021,5,2021-05-01,77,8,2.1972245773362196,1,0,2.0464080624926195,6.740049341813489,3.1703592661870523,22.816039117182836
Meningococcal disease (invasive),2021,6,2021-06-01,78,8,2.1972245773362196,1,0,2.199773522187537,8.022969765558246,3.3117256859926854,26.432424399148132
Meningococcal disease (invasive),2021,7,2021-07-01,79,3,1.3862943611198906,1,0,2.2838801088740928,8.814688684382048,3.3838332327899563,28.483572174428552
Meningococcal disease (invasive),2021,8,2021-08-01,80,7,2.0794415416798357,1,0,2.3086935735683816,9.0612717538805,3.3966476575949605,28.8638183074594
Meningococcal disease (invasive),2021,9,2021-09-01,81,3,1.3862943611198906,1,0,2.2970351607260326,8.944654401542946,3.372990204863327,28.165607940778713
Meningococcal disease (invasive),2021,10,2021-10-01,82,4,1.6094379124341003,1,0,2.2530201670108343,8.516433697492005,3.316976171258844,26.576836724906965
Meningococcal disease (invasive),2021,11,2021-11-01,83,7,2.0794415416798357,1,0,2.1639873015920776,7.705781120521422,3.2159442659508026,23.926818347638314
Meningococcal disease (invasive),2021,12,2021-12-01,84,8,2.1972245773362196,1,0,2.032369826722002,6.632151821650216,3.0723277511914424,20.592105271528776
Meningococcal disease (invasive),2022,1,2022-01-01,85,4,1.6094379124341003,1,0,1.9004900742895543,5.6891718302643035,2.9284489588697102,17.698605686655593
Meningococcal disease (invasive),2022,2,2022-02-01,86,8,2.1972245773362196,1,0,1.8361871604539213,5.272576281562491,2.8521470051447917,16.32493867080094
Meningococcal disease (invasive),2022,3,2022-03-01,87,2,1.0986122886681098,1,0,1.8861609913302095,5.594005583014703,2.8901217961317958,16.995501250522462
Meningococcal disease (invasive),2022,4,2022-04-01,88,6,1.9459101490553132,1,0,2.038012553650082,6.675339704374734,3.0299743185623838,19.696701061527158
Meningococcal disease (invasive),2022,5,2022-05-01,89,15,2.772588722239781,1,0,2.2265982710689673,8.268284202932675,3.2065609960919836,23.69401721040118
Meningococcal disease (invasive),2022,6,2022-06-01,90,9,2.302585092994046,1,0,2.379963730763885,9.804510985464697,3.347927415897617,27.44372050711194
Meningococcal disease (invasive),2022,7,2022-07-01,91,18,2.9444389791664403,1,0,2.4640703174504406,10.75255092997212,3.420034962694888,29.57048382886459
Meningococcal disease (invasive),2022,8,2022-08-01,92,9,2.302585092994046,1,0,2.4888837821447294,11.047820619713876,3.432849387499892,29.96474773257466
Meningococcal disease (invasive),2022,9,2022-09-01,93,17,2.8903717578961645,1,0,2.4772253693023805,10.908177741907009,3.4091919347682587,29.240797846262378
Meningococcal disease (invasive),2022,10,2022-10-01,94,5,1.791759469228055,1,0,2.433210375587182,10.395406955642983,3.3531779011637757,27.593456592114833
Meningococcal disease (invasive),2022,11,2022-11-01,95,13,2.6390573296152584,1,0,2.3441775101684255,9.424694994852985,3.2521459958557344,24.84574530838008
Meningococcal disease (invasive),2022,12,2022-12-01,96,17,2.8903717578961645,1,0,2.21256003529835,8.139082845486216,3.108529481096374,21.388098061160598
Meningococcal disease (invasive),2023,1,2023-01-01,97,9,2.302585092994046,1,1,2.188667733282477,7.923316953841226,2.9646506887746416,18.387929637033515
Meningococcal disease (invasive),2023,2,2023-02-01,98,6,1.9459101490553132,1,1,2.1112049247262847,7.258185784482599,2.8883487350497234,16.96362239753115
Meningococcal disease (invasive),2023,3,2023-03-01,99,8,2.1972245773362196,1,1,2.1480188608820145,7.567867434672451,2.9263235260367275,17.658905261437237
Meningococcal disease (invasive),2023,4,2023-04-01,100,9,2.302585092994046,1,1,2.286710528481328,8.842507722877075,3.0661760484673155,20.459684782056897
Meningococcal disease (invasive),2023,5,2023-05-01,101,20,3.044522437723423,1,1,2.4621363511796535,10.729843857311627,3.242762725996915,24.604361959064565
Meningococcal disease (invasive),2023,6,2023-06-01,102,15,2.772588722239781,1,1,2.6023419161540122,12.495305930853842,3.3841291458025484,28.49229803807729
