disease,year,state,rate_per_100k
Cryptosporidiosis,2013,QLD,17
Cryptosporidiosis,2013,SA,8
Cryptosporidiosis,2013,TAS,14
Cryptosporidiosis,2013,VIC,22
Cryptosporidiosis,2013,WA,15
Cryptosporidiosis,2013,AUS,17
Cryptosporidiosis,2012,ACT,5
Cryptosporidiosis,2012,NSW,9
Cryptosporidiosis,2012,NT,100
Cryptosporidiosis,2012,QLD,30
Cryptosporidiosis,2012,SA,10
Cryptosporidiosis,2012,TAS,8
Cryptosporidiosis,2012,VIC,8
Cryptosporidiosis,2012,WA,7
Cryptosporidiosis,2012,AUS,14
Cryptosporidiosis,2011,ACT,4
Cryptosporidiosis,2011,NSW,5
Cryptosporidiosis,2011,NT,41
Cryptosporidiosis,2011,QLD,10
Cryptosporidiosis,2011,SA,8
Cryptosporidiosis,2011,TAS,8
Cryptosporidiosis,2011,VIC,5
Cryptosporidiosis,2011,WA,19
Cryptosporidiosis,2011,AUS,8
Cryptosporidiosis,2010,ACT,3
Cryptosporidiosis,2010,NSW,5
Cryptosporidiosis,2010,NT,42
Cryptosporidiosis,2010,QLD,7
Cryptosporidiosis,2010,SA,3
Cryptosporidiosis,2010,TAS,20
Cryptosporidiosis,2010,VIC,8
Cryptosporidiosis,2010,WA,6
Cryptosporidiosis,2010,AUS,7
Cryptosporidiosis,2009,ACT,30
Cryptosporidiosis,2009,NSW,21
Cryptosporidiosis,2009,NT,67
Cryptosporidiosis,2009,QLD,34
Cryptosporidiosis,2009,SA,7
Cryptosporidiosis,2009,TAS,13
Cryptosporidiosis,2009,VIC,19
Cryptosporidiosis,2009,WA,10
Cryptosporidiosis,2009,AUS,21
Cryptosporidiosis,2008,ACT,3
Cryptosporidiosis,2008,NSW,7
Cryptosporidiosis,2008,NT,46
Cryptosporidiosis,2008,QLD,16
Cryptosporidiosis,2008,SA,4
Cryptosporidiosis,2008,TAS,7
Cryptosporidiosis,2008,VIC,9
Cryptosporidiosis,2008,WA,8
Cryptosporidiosis,2008,AUS,9
Cryptosporidiosis,2007,ACT,3
Cryptosporidiosis,2007,NSW,8
Cryptosporidiosis,2007,NT,52
Cryptosporidiosis,2007,QLD,10
Cryptosporidiosis,2007,SA,29
Cryptosporidiosis,2007,TAS,8
Cryptosporidiosis,2007,VIC,12
Cryptosporidiosis,2007,WA,29
Cryptosporidiosis,2007,AUS,13
