disease,year,month,date,time,count,log_count,gam_fitted_log,gam_fitted_count
Meningococcal disease (invasive),2017,7,2017-07-01,31,33,3.5263605246161616,3.511075207151648,32.48425094188423
Meningococcal disease (invasive),2017,8,2017-08-01,32,40,3.713572066704308,3.5628032021631197,34.261904979777114
Meningococcal disease (invasive),2017,9,2017-09-01,33,65,4.189654742026425,3.528977691769525,33.08910022745055
Meningococcal disease (invasive),2017,10,2017-10-01,34,52,3.970291913552122,3.440270329847202,30.19539007359228
Meningococcal disease (invasive),2017,11,2017-11-01,35,28,3.367295829986474,3.325953004081952,26.82550382961994
Meningococcal disease (invasive),2017,12,2017-12-01,36,23,3.1780538303479458,3.1927925158203334,23.35634805152932
Meningococcal disease (invasive),2018,1,2018-01-01,37,22,3.1354942159291497,3.1809859848048165,23.07047497823311
Meningococcal disease (invasive),2018,2,2018-02-01,38,12,2.5649493574615367,3.0559871283237805,20.242143902811225
Meningococcal disease (invasive),2018,3,2018-03-01,39,17,2.8903717578961645,3.036590903042729,19.834096575823988
Meningococcal disease (invasive),2018,4,2018-04-01,40,17,2.8903717578961645,3.0989539974319142,21.174744306788483
Meningococcal disease (invasive),2018,5,2018-05-01,41,16,2.833213344056216,3.195980339360273,23.434115680075777
Meningococcal disease (invasive),2018,6,2018-06-01,42,23,3.1780538303479458,3.298086206122982,26.060800538113252
Meningococcal disease (invasive),2018,7,2018-07-01,43,30,3.4339872044851463,3.37732997638275,28.292455060142288
Meningococcal disease (invasive),2018,8,2018-08-01,44,33,3.5263605246161616,3.4028178622542056,29.04865382840693
Meningococcal disease (invasive),2018,9,2018-09-01,45,31,3.4657359027997265,3.3445835510489825,27.348767393609045
Meningococcal disease (invasive),2018,10,2018-10-01,46,25,3.258096538021482,3.232988992363202,24.35533071036849
Meningococcal disease (invasive),2018,11,2018-11-01,47,26,3.295836866004329,3.0969172950051678,21.12962691219606
Meningococcal disease (invasive),2018,12,2018-12-01,48,27,3.332204510175204,2.9427080450802365,17.967140699208255
Meningococcal disease (invasive),2019,1,2019-01-01,49,16,2.833213344056216,2.910132417163424,17.359229483157673
Meningococcal disease (invasive),2019,2,2019-02-01,50,9,2.302585092994046,2.764253518948144,14.867191011208684
Meningococcal disease (invasive),2019,3,2019-03-01,51,12,2.5649493574615367,2.7235363468543525,14.2341001624131
Meningococcal disease (invasive),2019,4,2019-04-01,52,11,2.4849066497880004,2.763883873885735,14.861326866289971
Meningococcal disease (invasive),2019,5,2019-05-01,53,19,2.995732273553991,2.8380296699231393,16.08207503112764
Meningococcal disease (invasive),2019,6,2019-06-01,54,22,3.1354942159291497,2.9163046291620782,17.472896968710703
Meningococcal disease (invasive),2019,7,2019-07-01,55,23,3.1780538303479458,2.9707667174377637,18.506870121362724
Meningococcal disease (invasive),2019,8,2019-08-01,56,30,3.4339872044851463,2.970608744328882,18.503788803834166
Meningococcal disease (invasive),2019,9,2019-09-01,57,24,3.2188758248682006,2.8860444772308123,16.92227723341838
Meningococcal disease (invasive),2019,10,2019-10-01,58,15,2.772588722239781,2.7477206406973074,14.607017310309054
Meningococcal disease (invasive),2019,11,2019-11-01,59,14,2.70805020110221,2.5849236644349363,12.262276667943151
Meningococcal disease (invasive),2019,12,2019-12-01,60,10,2.3978952727983707,2.4045272300913845,10.073193971596883
Meningococcal disease (invasive),2020,1,2020-01-01,61,12,2.5649493574615367,2.3469723756455663,9.453871368030844
Meningococcal disease (invasive),2020,2,2020-02-01,62,13,2.6390573296152584,2.1781198581467014,7.829689573834029
Meningococcal disease (invasive),2020,3,2020-03-01,63,6,1.9459101490553132,2.117334687457336,7.3089619679202915
Meningococcal disease (invasive),2020,4,2020-04-01,64,7,2.0794415416798357,2.141477445628209,7.512004366903291
Meningococcal disease (invasive),2020,5,2020-05-01,65,4,1.6094379124341003,2.2042343221273826,8.063309335028025
Meningococcal disease (invasive),2020,6,2020-06-01,66,7,2.0794415416798357,2.276808660479621,8.74552943606469
Meningococcal disease (invasive),2020,7,2020-07-01,67,8,2.1972245773362196,2.3319713666232214,9.298223108579315
Meningococcal disease (invasive),2020,8,2020-08-01,68,7,2.0794415416798357,2.339395674408423,9.374964811085658
Meningococcal disease (invasive),2020,9,2020-09-01,69,4,1.6094379124341003,2.269487455052324,8.67444095727241
Meningococcal disease (invasive),2020,10,2020-10-01,70,10,2.3978952727983707,2.1527679691749655,7.608653938061796
Meningococcal disease (invasive),2020,11,2020-11-01,71,4,1.6094379124341003,2.0180840016121304,6.523895343192139
Meningococcal disease (invasive),2020,12,2020-12-01,72,7,2.0794415416798357,1.8715929329801668,5.498640056795627
Meningococcal disease (invasive),2021,1,2021-01-01,73,5,1.791759469228055,1.852810878930675,5.377721353453467
Meningococcal disease (invasive),2021,2,2021-02-01,74,4,1.6094379124341003,1.7265551529746463,4.621256148930591
Meningococcal disease (invasive),2021,3,2021-03-01,75,9,2.302585092994046,1.711128871126296,4.535206486836595
Meningococcal disease (invasive),2021,4,2021-04-01,76,8,2.1972245773362196,1.7824084099660131,4.944155155585469
Meningococcal disease (invasive),2021,5,2021-05-01,77,8,2.1972245773362196,1.893252143278857,5.640930859051305
Meningococcal disease (invasive),2021,6,2021-06-01,78,8,2.1972245773362196,2.0142423367877447,6.495046508367009
Meningococcal disease (invasive),2021,7,2021-07-01,79,3,1.3862943611198906,2.117751014918113,7.3124219371482155
Meningococcal disease (invasive),2021,8,2021-08-01,80,7,2.0794415416798357,2.173254210973819,7.786831769751446
Meningococcal disease (invasive),2021,9,2021-09-01,81,3,1.3862943611198906,2.151110319233638,7.594395624277881
Meningococcal disease (invasive),2021,10,2021-10-01,82,4,1.6094379124341003,2.0818688197227364,7.019441810137227
Meningococcal disease (invasive),2021,11,2021-11-01,83,7,2.0794415416798357,1.9943969520877916,6.347770633812018
Meningococcal disease (invasive),2021,12,2021-12-01,84,8,2.1972245773362196,1.8947856946338921,5.6511228805656515
Meningococcal disease (invasive),2022,1,2022-01-01,85,4,1.6094379124341003,1.9223358958992882,5.836910141678202
Meningococcal disease (invasive),2022,2,2022-02-01,86,8,2.1972245773362196,1.8414654309685519,5.305772167362715
Meningococcal disease (invasive),2022,3,2022-03-01,87,2,1.0986122886681098,1.869890280207411,5.487584543804558
Meningococcal disease (invasive),2022,4,2022-04-01,88,6,1.9459101490553132,1.982740155669771,6.262616444167273
Meningococcal disease (invasive),2022,5,2022-05-01,89,15,2.772588722239781,2.132022107509061,7.431899792262628
Meningococcal disease (invasive),2022,6,2022-06-01,90,9,2.302585092994046,2.287435157849424,8.849642477743043
Meningococcal disease (invasive),2022,7,2022-07-01,91,18,2.9444389791664403,2.4205157583845827,10.25166095710954
Meningococcal disease (invasive),2022,8,2022-08-01,92,9,2.302585092994046,2.5000272021653616,11.182825355426015
Meningococcal disease (invasive),2022,9,2022-09-01,93,17,2.8903717578961645,2.4957990029237145,11.131422689433732
Meningococcal disease (invasive),2022,10,2022-10-01,94,5,1.791759469228055,2.4380758187349025,10.450985758442526
Meningococcal disease (invasive),2022,11,2022-11-01,95,13,2.6390573296152584,2.355660615326265,9.545092811124265
Meningococcal disease (invasive),2022,12,2022-12-01,96,17,2.8903717578961645,2.2548144232824443,8.533523945894816
Meningococcal disease (invasive),2023,1,2023-01-01,97,9,2.302585092994046,2.275217786151333,8.730037849320386
Meningococcal disease (invasive),2023,2,2023-02-01,98,6,1.9459101490553132,2.18184111891814,7.862608362980792
Meningococcal disease (invasive),2023,3,2023-03-01,99,8,2.1972245773362196,2.193083897461225,7.962810928280055
Meningococcal disease (invasive),2023,4,2023-04-01,100,9,2.302585092994046,2.284849605768285,8.824208608601838
Meningococcal disease (invasive),2023,5,2023-05-01,101,20,3.044522437723423,2.4099743510617917,10.133675574446189
Meningococcal disease (invasive),2023,6,2023-06-01,102,15,2.772588722239781,2.5390142358961136,11.667177964931776
Meningococcal disease (invasive),2023,7,2023-07-01,103,19,2.995732273553991,2.6443708517825493,13.074587295477633
Meningococcal disease (invasive),2023,8,2023-08-01,104,10,2.3978952727983707,2.6956656225785762,13.815376921403114
Meningococcal disease (invasive),2023,9,2023-09-01,105,9,2.302585092994046,2.663565537459554,13.347354035865477
Meningococcal disease (invasive),2023,10,2023-10-01,106,10,2.3978952727983707,2.5791163835936444,12.18548210236367
Meningococcal disease (invasive),2023,11,2023-11-01,107,13,2.6390573296152584,2.4718657273299116,10.84452490325168
Meningococcal disease (invasive),2023,12,2023-12-01,108,13,2.6390573296152584,2.34873730139478,9.472337966080886
Meningococcal disease (invasive),2024,1,2024-01-01,109,8,2.1972245773362196,2.3499632438718137,9.48518432286565
Meningococcal disease (invasive),2024,2,2024-02-01,110,3,1.3862943611198906,2.240924612142964,8.40202049206705
Meningococcal disease (invasive),2024,3,2024-03-01,111,10,2.3978952727983707,2.2402645263888514,8.395816400121985
Meningococcal disease (invasive),2024,4,2024-04-01,112,11,2.4849066497880004,2.3239456176856192,9.21590293778927
Meningococcal disease (invasive),2024,5,2024-05-01,113,5,1.791759469228055,2.444673746560756,10.52678833097251
Meningococcal disease (invasive),2024,6,2024-06-01,114,15,2.772588722239781,2.5726955610693003,12.101091679779424
Meningococcal disease (invasive),2024,7,2024-07-01,115,12,2.5649493574615367,2.6799495865693057,13.584358029824546
Meningococcal disease (invasive),2024,8,2024-08-01,116,22,3.1354942159291497,2.735479593744404,14.417135624966184
Meningococcal disease (invasive),2024,9,2024-09-01,117,17,2.8903717578961645,2.7093087771514437,14.018890525826615
Meningococcal disease (invasive),2024,10,2024-10-01,118,9,2.302585092994046,2.6318254693826035,12.899119174428394
Meningococcal disease (invasive),2024,11,2024-11-01,119,12,2.5649493574615367,2.531956734268992,11.578094060493221
Meningococcal disease (invasive),2024,12,2024-12-01,120,12,2.5649493574615367,2.4160859306051807,10.20192827177973
Salmonellosis,2015,1,2015-01-01,1,2511,7.828834527588089,7.5139276482567166,1832.400371683462
