disease_group,disease,year,count
Gastrointestinal diseases,Listeriosis,1993,49
Gastrointestinal diseases,Listeriosis,1992,45
Gastrointestinal diseases,Listeriosis,1991,53
Gastrointestinal diseases,Paratyphoid,2026,9
Gastrointestinal diseases,Paratyphoid,2025,99
Gastrointestinal diseases,Paratyphoid,2024,108
Gastrointestinal diseases,Paratyphoid,2023,120
Gastrointestinal diseases,Paratyphoid,2022,52
Gastrointestinal diseases,Paratyphoid,2021,4
Gastrointestinal diseases,Paratyphoid,2020,39
Gastrointestinal diseases,Paratyphoid,2019,117
Gastrointestinal diseases,Paratyphoid,2018,81
Gastrointestinal diseases,Paratyphoid,2017,67
Gastrointestinal diseases,Paratyphoid,2016,79
Gastrointestinal diseases,Paratyphoid,2015,76
Gastrointestinal diseases,Paratyphoid,2014,69
Gastrointestinal diseases,Paratyphoid,2013,74
Gastrointestinal diseases,Paratyphoid,2012,77
Gastrointestinal diseases,Paratyphoid,2011,69
Gastrointestinal diseases,Paratyphoid,2010,86
Gastrointestinal diseases,Paratyphoid,2009,61
Gastrointestinal diseases,Paratyphoid,2008,64
Gastrointestinal diseases,Paratyphoid,2007,58
Gastrointestinal diseases,Paratyphoid,2006,63
Gastrointestinal diseases,Paratyphoid,2005,48
Gastrointestinal diseases,Paratyphoid,2004,76
Gastrointestinal diseases,Paratyphoid,2003,40
Gastrointestinal diseases,Paratyphoid,2002,34
Gastrointestinal diseases,Paratyphoid,2001,31
Gastrointestinal diseases,Paratyphoid,2000,25
Gastrointestinal diseases,Paratyphoid,1999,21
Gastrointestinal diseases,Paratyphoid,1998,19
Gastrointestinal diseases,Paratyphoid,1997,22
Gastrointestinal diseases,Paratyphoid,1996,35
Gastrointestinal diseases,Paratyphoid,1995,33
Gastrointestinal diseases,Paratyphoid,1994,29
Gastrointestinal diseases,Paratyphoid,1993,21
Gastrointestinal diseases,Paratyphoid,1992,15
Gastrointestinal diseases,Paratyphoid,1991,36
Gastrointestinal diseases,Salmonellosis,2026,1410
Gastrointestinal diseases,Salmonellosis,2025,11818
Gastrointestinal diseases,Salmonellosis,2024,12219
Gastrointestinal diseases,Salmonellosis,2023,11325
Gastrointestinal diseases,Salmonellosis,2022,10301
Gastrointestinal diseases,Salmonellosis,2021,10665
Gastrointestinal diseases,Salmonellosis,2020,12011
Gastrointestinal diseases,Salmonellosis,2019,14674
Gastrointestinal diseases,Salmonellosis,2018,14141
Gastrointestinal diseases,Salmonellosis,2017,16375
Gastrointestinal diseases,Salmonellosis,2016,18017
Gastrointestinal diseases,Salmonellosis,2015,16876
Gastrointestinal diseases,Salmonellosis,2014,16181
Gastrointestinal diseases,Salmonellosis,2013,12649
Gastrointestinal diseases,Salmonellosis,2012,11118
Gastrointestinal diseases,Salmonellosis,2011,12159
Gastrointestinal diseases,Salmonellosis,2010,11773
